,0
0,175.77
1,127.96
2,64.74
3,3.99
4,0.33
5,0.15
6,0.02
7,0.04
8,0.29
9,24.12
10,26.05
11,43.36
12,48.59
13,50.12
14,62.21
15,14.52
16,0.13
17,0.18
18,0.36
19,0.04
20,10.97
21,22.16
22,67.21
23,67.84
24,83.81
25,32.23
26,115.72
27,44.56
28,17.5
29,0.16
30,0.02
31,0.04
32,0.99
33,64.51
34,85.66
35,12.46
36,109.05
37,40.05
38,31.67
39,5.75
40,0.45
41,22.14
42,1.43
43,0.05
44,0.16
45,14.06
46,61.57
47,128.5
48,50.22
49,46.71
50,22.9
51,26.9
52,25.13
53,3.58
54,0.02
55,6.24
56,3.15
57,13.6
58,25.31
59,165.59
60,53.16
61,29.45
62,69.04
63,61.24
64,78.03
65,0.13
66,15.63
67,2.51
68,1.98
69,74.07
70,33.11
71,28.4
72,40.12
73,93.94
74,37.94
75,10.91
76,17.97
77,0.6
78,2.37
79,0.19
80,0.16
81,33.75
82,82.07
83,152.25
84,59.03
85,184.42
86,108.66
87,36.96
88,2.15
89,0.13
90,0.02
91,0.19
92,1.14
93,14.95
94,82.11
95,46.46
96,109.75
97,96.46
98,51.21
99,33.15
100,1.23
101,0.21
102,0.02
103,0.2
104,1.46
105,13.72
106,85.91
107,109.72
108,150.8
109,270.32
110,46.64
111,22.05
112,10.36
113,26.06
114,0.03
115,0.18
116,0.23
117,29.02
118,59.94
119,132.77
120,48.21
121,159.91
122,48.29
123,2.39
124,22.1
125,1.55
126,0.02
127,0.18
128,6.73
129,35.53
130,69.36
131,87.9
132,49.9
133,82.68
134,62.57
135,15.18
136,12.84
137,24.13
138,48.24
139,7.07
140,35.36
141,42.96
142,51.04
143,56.87
144,146.47
145,53.87
146,55.45
147,28.83
148,0.14
149,0.32
150,0.03
151,0.38
152,40.84
153,61.92
154,53.86
155,166.03
156,68.11
157,75.13
158,53.92
159,20.63
160,25.34
161,0.31
162,3.58
163,0.42
164,0.77
165,13.02
166,45.48
167,85.04
168,46.88
169,28.89
170,70.92
171,33.48
172,16.82
173,4.46
174,5.65
175,11.05
176,5.05
177,34.02
178,108.61
179,122.0
180,37.59
181,106.25
182,69.61
183,68.93
184,26.53
185,8.13
186,5.07
187,3.46
188,3.67
189,9.88
190,79.63
191,52.07
192,59.39
193,34.97
194,40.5
195,58.56
196,0.57
197,0.27
198,0.01
199,0.95
200,6.34
201,7.91
202,96.63
203,48.93
204,61.34
205,9.33
206,19.37
207,51.61
208,13.69
209,14.18
210,0.62
211,0.39
212,1.21
213,70.87
214,63.43
215,40.67
216,75.96
217,26.84
218,25.91
219,14.52
220,0.98
221,1.84
222,0.04
223,0.16
224,0.6
225,75.68
226,43.88
227,55.73
228,45.03
229,30.16
230,7.7
231,53.93
232,0.04
233,0.22
234,0.03
235,1.11
236,5.19
237,2.88
238,38.61
239,14.58
240,57.95
241,153.94
242,2.96
243,1.93
244,0.6
245,11.12
246,0.01
247,1.75
248,13.28
249,51.1
250,33.41
251,91.52
252,199.2
253,156.78
254,88.09
255,109.74
256,8.75
257,2.32
258,0.72
259,6.08
260,4.0
261,29.25
262,46.83
263,37.0
264,59.74
265,46.28
266,78.7
267,114.8
268,24.38
269,0.56
270,0.01
271,1.29
272,0.27
273,8.43
274,70.42
275,62.05
276,53.31
277,76.13
278,84.38
279,47.83
280,22.35
281,0.25
282,0.03
283,0.57
284,6.47
285,56.19
286,29.89
287,100.11
288,36.45
289,50.45
290,23.67
291,12.23
292,3.03
293,10.7
294,1.67
295,0.45
296,4.95
297,29.15
298,60.55
299,125.58
300,139.8
301,77.17
302,22.81
303,51.63
304,7.31
305,1.01
306,0.03
307,0.05
308,21.96
309,52.27
310,125.31
311,45.96
312,217.61
313,37.09
314,60.51
315,4.61
316,2.55
317,0.28
318,0.03
319,0.05
320,3.31
321,10.35
322,32.1
323,46.17
324,46.04
325,81.24
326,19.46
327,39.15
328,0.94
329,0.23
330,0.03
331,0.05
332,17.79
333,80.27
334,36.33
335,132.85
336,131.93
337,81.45
338,73.79
339,51.77
340,4.31
341,0.2
342,1.5
343,3.26
344,21.49
