,0
0,181.5
1,143.58
2,106.29
3,17.63
4,18.32
5,0.45
6,0.11
7,0.58
8,0.94
9,53.08
10,97.35
11,99.83
12,123.3
13,125.33
14,105.9
15,39.02
16,0.3
17,7.46
18,3.14
19,0.84
20,11.6
21,33.95
22,98.87
23,155.01
24,115.78
25,54.76
26,112.83
27,37.39
28,11.1
29,0.47
30,0.15
31,0.55
32,18.5
33,76.25
34,126.5
35,34.66
36,179.53
37,59.44
38,63.89
39,26.14
40,7.9
41,7.73
42,0.16
43,1.25
44,20.82
45,79.42
46,162.68
47,179.37
48,91.03
49,53.27
50,116.61
51,44.62
52,46.11
53,5.75
54,2.7
55,6.39
56,6.81
57,38.91
58,67.38
59,132.98
60,70.97
61,85.87
62,70.47
63,64.85
64,56.19
65,3.08
66,5.06
67,26.71
68,10.82
69,126.07
70,23.39
71,117.33
72,80.78
73,88.65
74,47.0
75,35.56
76,8.32
77,4.77
78,31.95
79,0.97
80,1.81
81,37.5
82,146.58
83,126.22
84,75.85
85,175.0
86,95.96
87,42.26
88,12.83
89,0.95
90,0.11
91,1.65
92,4.27
93,42.67
94,155.66
95,78.86
96,138.37
97,88.3
98,64.46
99,44.25
100,14.32
101,2.04
102,0.16
103,1.06
104,26.33
105,42.64
106,133.2
107,79.89
108,176.63
109,184.95
110,68.23
111,57.96
112,22.06
113,7.34
114,0.54
115,2.08
116,0.71
117,77.57
118,119.04
119,163.53
120,52.56
121,118.51
122,89.6
123,3.35
124,79.23
125,5.16
126,2.42
127,0.43
128,41.03
129,102.44
130,89.1
131,122.39
132,85.21
133,98.39
134,88.45
135,28.94
136,10.85
137,31.45
138,60.62
139,27.56
140,104.61
141,87.39
142,65.22
143,66.97
144,144.66
145,56.31
146,75.12
147,84.25
148,4.47
149,1.21
150,0.11
151,0.44
152,65.89
153,56.35
154,107.42
155,146.76
156,123.82
157,72.02
158,43.87
159,48.92
160,29.94
161,2.24
162,6.44
163,0.9
164,11.48
165,62.45
