,0
0,0.11
1,4.35
2,0.01
3,0.0
4,0.1
5,0.19
6,2.76
7,11.33
8,7.84
9,23.11
10,0.01
11,0.0
12,0.11
13,0.06
14,0.01
15,0.0
16,0.1
17,11.57
18,2.79
19,16.99
20,0.52
21,0.03
22,0.01
23,0.0
24,0.11
25,0.06
26,0.01
27,16.94
28,5.15
29,2.58
30,0.89
31,4.89
32,0.26
33,0.03
34,0.01
35,0.0
36,0.11
37,0.06
38,0.01
39,1.55
40,0.1
41,0.19
42,0.44
43,25.54
44,0.41
45,0.03
46,0.01
47,0.0
48,1.11
49,0.34
50,0.0
51,0.0
52,0.67
53,0.14
54,3.01
55,38.52
56,6.17
57,0.56
58,0.01
59,0.0
60,0.39
61,0.07
62,0.46
63,0.16
64,0.7
65,0.53
66,1.17
67,4.88
68,16.26
69,3.35
70,0.01
71,0.0
72,0.39
73,0.07
74,0.0
75,1.24
76,0.5
77,0.15
78,4.59
79,20.32
80,7.59
81,0.04
82,0.01
83,0.44
84,0.12
85,0.07
86,2.39
87,0.0
88,10.2
89,17.73
90,3.21
91,29.9
92,6.74
93,0.04
94,0.45
95,0.16
96,0.12
97,2.11
98,3.24
99,0.0
100,3.2
101,0.12
102,11.91
103,11.4
104,0.59
105,0.04
106,0.19
107,0.0
108,0.12
109,0.07
110,0.0
111,0.16
112,5.58
113,0.85
114,0.73
115,2.05
116,1.84
117,0.04
118,0.01
119,0.43
120,0.12
121,3.98
122,0.0
123,0.0
124,1.55
125,0.12
126,0.68
127,14.9
128,1.6
129,0.04
130,0.01
131,0.0
132,3.71
133,0.07
134,0.0
135,0.16
136,1.85
137,0.7
138,6.62
139,4.25
140,1.52
141,4.69
142,0.44
143,0.0
144,0.59
145,0.07
146,0.0
147,0.0
148,0.15
149,0.21
150,1.64
151,10.25
152,3.1
153,0.05
154,11.53
155,0.0
156,2.01
157,0.07
158,0.0
159,0.0
160,1.6
161,2.72
162,0.42
163,21.62
164,1.18
165,0.05
166,0.01
167,0.0
168,0.12
169,0.07
170,1.83
171,0.0
172,1.33
173,3.31
174,4.37
175,4.0
176,1.81
177,0.36
178,0.02
179,8.86
180,0.13
181,0.07
182,0.46
183,0.0
184,0.09
185,2.58
186,16.68
187,14.76
188,0.2
189,0.05
190,0.01
191,0.0
192,0.12
193,0.07
194,0.0
195,0.42
196,0.12
197,0.16
198,16.03
199,13.32
200,0.44
201,0.41
202,0.5
203,0.42
204,0.37
205,0.33
206,0.58
207,0.0
208,0.2
209,1.06
210,6.72
211,4.38
212,4.9
213,4.33
214,0.44
215,0.41
216,0.37
217,0.35
218,0.58
219,0.0
220,2.62
221,0.42
222,8.53
223,25.68
224,0.15
225,0.41
226,0.44
227,0.43
228,0.12
229,0.07
230,0.0
231,0.0
232,0.11
233,8.57
234,6.66
235,16.04
236,0.71
237,0.29
238,0.01
239,0.0
240,0.12
241,0.07
242,0.21
243,0.0
244,9.08
245,0.16
246,0.25
247,8.52
248,14.62
249,3.01
250,0.01
251,0.0
252,0.12
253,0.34
254,0.62
255,0.0
256,0.09
257,0.16
258,1.84
259,7.52
260,3.45
261,0.05
262,0.01
263,0.43
264,0.12
265,2.75
266,0.2
267,16.62
268,0.19
269,1.43
270,0.0
271,11.46
272,2.91
273,0.05
274,0.02
275,0.0
276,0.12
277,0.08
278,0.0
279,0.16
280,0.04
281,0.06
282,4.24
283,26.4
284,2.39
285,0.56
286,6.93
287,0.42
288,0.12
289,0.08
290,0.0
291,0.0
292,0.45
293,0.03
294,2.91
295,0.81
296,0.49
297,0.41
298,0.02
299,0.43
300,0.12
301,0.34
302,0.0
303,0.0
304,0.72
305,0.08
306,1.86
307,6.88
308,1.06
309,1.9
310,0.02
311,0.0
312,0.38
313,0.34
314,0.58
315,0.0
316,0.24
317,2.18
318,1.39
319,15.88
320,1.09
321,1.64
322,0.02
323,0.0
324,0.12
325,0.08
326,0.0
327,0.64
328,0.07
329,1.06
330,3.72
331,2.1
332,0.08
333,0.05
334,0.02
335,0.43
336,0.85
337,0.08
338,1.26
339,0.0
340,0.47
341,0.28
342,4.47
343,9.11
344,0.26
345,0.05
346,0.72
347,0.0
348,0.12
349,0.08
350,0.0
351,0.0
352,2.77
353,0.29
354,3.2
355,1.37
356,0.58
357,0.05
358,0.02
359,0.0
360,1.19
361,5.75
362,0.0
363,0.68
364,0.19
365,17.31
366,5.78
367,9.03
368,4.27
369,1.36
370,0.18
371,0.16
372,0.12
373,0.08
374,0.0
375,0.0
376,0.23
377,0.08
378,0.58
379,2.65
380,1.22
381,0.05
382,0.02
383,0.0
384,0.12
385,0.08
386,0.0
387,0.94
388,0.65
389,0.28
390,15.36
391,2.13
392,0.84
393,2.99
394,0.99
395,0.0
396,0.04
397,0.13
398,0.0
399,0.0
400,0.53
401,7.46
402,3.39
403,5.2
404,1.62
405,0.49
406,0.02
407,0.0
408,0.04
409,0.13
410,0.0
411,0.0
412,1.08
413,9.32
414,6.76
415,11.25
416,1.22
417,1.43
418,0.02
419,0.0
420,0.04
421,0.13
422,0.0
423,0.0
424,0.58
425,16.13
426,11.66
427,2.42
428,0.19
429,0.07
430,0.02
431,0.0
432,0.09
433,0.13
434,1.08
435,0.62
436,3.01
437,4.1
438,2.46
439,8.23
440,0.19
441,0.07
442,0.02
443,0.86
444,0.04
445,1.59
446,0.0
447,0.0
448,1.83
449,1.5
450,0.02
451,3.74
452,0.18
453,0.28
454,0.02
455,0.0
456,0.04
457,0.21
458,0.36
459,0.0
460,0.34
461,0.13
462,0.02
463,0.2
464,3.73
465,0.36
466,0.02
467,0.0
468,0.04
469,0.13
470,0.36
471,0.0
472,0.15
473,0.33
474,0.88
475,3.17
476,10.37
477,0.07
478,0.02
479,0.0
480,0.04
481,0.13
482,0.0
483,0.07
484,0.33
485,0.28
486,2.48
487,5.18
488,5.52
489,0.07
490,0.35
491,0.0
492,0.04
493,0.12
494,0.0
495,0.0
496,0.14
497,0.14
498,3.9
499,4.11
500,0.39
501,0.06
502,0.02
503,4.22
504,0.17
505,0.13
506,8.58
507,1.78
508,0.15
509,4.09
510,0.6
511,15.43
512,0.23
513,0.07
514,0.02
515,0.25
516,0.04
517,0.13
518,0.22
519,0.0
520,0.15
521,2.05
522,1.96
523,13.74
524,1.22
525,0.07
526,0.02
527,0.0
528,1.09
529,0.13
530,0.0
531,0.0
532,1.34
533,0.14
534,1.97
535,0.27
536,0.23
537,0.07
538,0.02
539,0.0
540,0.04
541,0.12
542,0.0
543,0.0
544,18.55
545,1.59
546,5.42
547,2.22
548,0.23
549,0.06
550,0.02
551,0.0
552,1.58
553,0.12
554,1.44
555,0.59
556,13.24
557,0.14
558,6.76
559,19.3
560,13.39
561,4.62
562,1.19
563,0.0
564,0.28
565,1.08
566,6.71
567,0.16
568,1.58
569,7.67
570,1.74
571,3.85
572,5.57
573,0.06
574,0.87
575,0.0
576,1.45
577,0.57
578,0.0
579,0.0
580,0.19
581,0.14
582,6.2
583,9.1
584,1.7
585,4.4
586,0.01
587,0.0
588,0.03
589,0.12
590,7.26
591,6.4
592,1.02
593,2.71
594,0.36
595,11.5
596,0.47
597,0.06
598,0.01
599,0.1
600,0.03
601,0.12
602,3.38
603,0.32
604,1.53
605,2.68
606,1.07
607,0.37
608,0.47
609,0.06
610,0.01
611,0.0
612,0.03
613,0.12
614,0.0
615,6.59
616,1.09
617,1.81
618,2.73
619,28.47
620,3.27
621,1.79
622,0.01
623,0.0
624,0.02
625,0.08
626,0.05
627,0.0
628,1.36
629,1.53
630,3.43
631,4.65
632,4.64
633,0.11
634,0.0
635,0.85
636,0.02
637,0.08
638,0.05
639,0.0
640,9.84
641,2.16
642,3.25
643,16.85
644,1.34
645,0.11
646,0.0
647,0.0
648,5.36
649,0.08
650,0.05
651,0.0
652,1.35
653,2.75
654,3.5
655,4.75
656,1.34
657,0.12
658,0.0
659,0.0
660,0.02
661,0.08
662,0.05
663,0.0
664,1.08
665,1.57
666,2.78
667,6.11
668,7.33
669,0.11
670,0.0
671,0.0
672,0.02
673,0.08
674,0.05
675,0.52
676,1.08
677,1.55
678,2.89
679,4.93
680,1.46
681,2.5
682,0.0
683,0.09
684,0.02
685,0.08
686,0.05
687,0.0
688,1.08
689,2.6
690,3.04
691,6.76
692,1.32
693,4.01
694,0.0
695,0.0
696,0.33
697,0.08
698,0.18
699,0.0
700,1.13
701,1.51
702,3.4
703,23.2
704,1.33
705,0.11
706,0.0
707,0.1
708,0.02
709,3.01
710,5.01
711,0.35
712,1.92
713,11.67
714,3.35
715,7.88
716,2.62
717,0.11
718,0.0
719,0.0
720,4.24
721,0.54
722,0.05
723,0.0
724,1.9
725,2.11
726,3.92
727,48.15
728,5.16
729,1.35
730,0.0
731,0.0
732,0.02
733,2.18
734,0.29
735,0.0
736,1.1
737,1.6
738,6.03
739,7.98
740,1.58
741,0.11
742,0.0
743,0.26
744,0.06
745,0.08
746,0.05
747,0.0
748,2.88
749,1.99
750,4.65
751,9.87
752,1.69
753,0.1
754,0.0
755,0.1
756,0.02
757,0.07
758,0.26
759,0.0
760,2.62
761,1.77
762,5.67
763,10.13
764,9.99
765,4.44
766,0.0
767,0.0
768,0.08
769,0.08
770,0.04
771,1.72
772,0.87
773,1.65
774,10.62
775,4.92
776,2.0
777,2.86
778,0.1
779,0.0
780,0.02
781,0.56
782,0.04
783,0.01
784,1.8
785,2.35
786,3.61
787,8.3
788,1.6
789,2.0
790,0.01
791,0.0
792,0.08
793,0.02
794,0.04
795,0.25
796,1.15
797,7.1
798,4.05
799,6.51
800,4.44
801,0.07
802,0.13
803,0.12
804,0.08
805,0.08
806,0.1
807,4.99
808,1.17
809,1.51
810,4.37
811,5.64
812,6.09
813,0.07
814,0.0
815,0.15
816,0.39
817,0.09
818,0.04
819,0.35
820,8.49
821,1.89
822,2.53
823,5.02
824,2.59
825,0.45
826,0.01
827,0.02
828,0.14
829,1.26
830,0.94
831,0.01
832,1.02
833,1.57
834,3.97
835,10.38
836,1.7
837,0.46
838,0.01
839,0.02
840,0.14
